id,bank,chapter,source_ref,type,difficulty,topic,question,options,correct_option,correct_answer,explanation,source_quote,fact_id,variant_group,validation_status,correction
DAN7-0011,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:11",multiple_choice,hard,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:11, en el pasaje sobre Anciano de días, juicio y bestias, ¿Qué opción restituye con precisión la relación descrita? Marco: «del sonido de las grandes [DETALLE] que hablaba el cuerno»","[""del sonido de las grandes insolencias que hablaba el cuerno"", ""del sonido de las grandes consideraba que hablaba el cuerno"", ""del sonido de las grandes contemplaba que hablaba el cuerno"", ""del sonido de las grandes desmenuzaba que hablaba el cuerno""]",0,del sonido de las grandes insolencias que hablaba el cuerno,La opción correcta conserva el detalle «insolencias» tal como aparece en la fuente: «del sonido de las grandes insolencias que hablaba el cuerno».,del sonido de las grandes insolencias que hablaba el cuerno,DAN7-V11-F01,DAN7-V11-F01-VARIANTS,verified,
DAN7-0012,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:12",fill_blank,hard,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:12, en el pasaje sobre Anciano de días, juicio y bestias, complete la formulación del PDF: «También a las otras bestias les habían quitado su dominio, pero les había sido _____ la vida hasta cierto tiempo.»","[""arrancadas"", ""arrancados"", ""prolongada"", ""convertido""]",2,prolongada,"El PDF emplea la expresión «prolongada» en este contexto: «dominio, pero les había sido prolongada la vida hasta cierto tiempo».","dominio, pero les había sido prolongada la vida hasta cierto tiempo",DAN7-V12-F01,DAN7-V12-F01-VARIANTS,verified,
DAN7-0013,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:13",multiple_choice,expert,Hijo del Hombre y reino eterno,"Según PDF p.17, Daniel 7:13, en el pasaje sobre Hijo del Hombre y reino eterno, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «cielo venía uno como un [DETALLE]»","[""cielo venía uno como un tiempo del fin"", ""cielo venía uno como un hijo de hombre"", ""cielo venía uno como un Anciano de días"", ""cielo venía uno como un rey del norte""]",1,cielo venía uno como un hijo de hombre,La opción correcta conserva el detalle «hijo de hombre» tal como aparece en la fuente: «cielo venía uno como un hijo de hombre».,cielo venía uno como un hijo de hombre,DAN7-V13-F01,DAN7-V13-F01-VARIANTS,verified,
DAN7-0014,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:14",fill_blank,hard,Hijo del Hombre y reino eterno,"Según PDF p.17, Daniel 7:14, en el pasaje sobre Hijo del Hombre y reino eterno, complete la formulación del PDF: «su dominio es _____, que nunca pasará»","[""cuerno notable"", ""cuerno pequeño"", ""cuerno grande"", ""dominio eterno""]",3,dominio eterno,"El PDF emplea la expresión «dominio eterno» en este contexto: «su dominio es dominio eterno, que nunca pasará».","su dominio es dominio eterno, que nunca pasará",DAN7-V14-F07,DAN7-V14-F07-VARIANTS,verified,
DAN7-0015,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:15",multiple_choice,hard,estado de Daniel e interpretación,"Según PDF p.17, Daniel 7:15, en el pasaje sobre estado de Daniel e interpretación, ¿Qué opción restituye con precisión la relación descrita? Marco: «visiones de mi cabeza me [DETALLE]»","[""visiones de mi cabeza me conocieron"", ""visiones de mi cabeza me cumplieron"", ""visiones de mi cabeza me asombraron"", ""visiones de mi cabeza me dispusiste""]",2,visiones de mi cabeza me asombraron,La opción correcta conserva el detalle «asombraron» tal como aparece en la fuente: «visiones de mi cabeza me asombraron».,visiones de mi cabeza me asombraron,DAN7-V15-F01,DAN7-V15-F01-VARIANTS,verified,
DAN7-0016,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:16",fill_blank,medium,estado de Daniel e interpretación,"Según PDF p.17, Daniel 7:16, en el pasaje sobre estado de Daniel e interpretación, complete la formulación del PDF: «Me habló y me hizo conocer la _____ de las cosas:»","[""interpretación"", ""prevaricación"", ""misericordia"", ""consumación""]",0,interpretación,El PDF emplea la expresión «interpretación» en este contexto: «y me hizo conocer la interpretación de las cosas».,y me hizo conocer la interpretación de las cosas,DAN7-V16-F06,DAN7-V16-F06-VARIANTS,verified,
DAN7-0017,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:17",multiple_choice,easy,estado de Daniel e interpretación,"Según PDF p.17, Daniel 7:17, en el pasaje sobre estado de Daniel e interpretación, ¿Qué expresión completa correctamente el detalle señalado? Marco: «Estas [DETALLE] grandes bestias son cuatro reyes que se levantarán en la tierra»","[""Estas sesenta grandes bestias son cuatro reyes que se levantarán en la tierra"", ""Estas siete grandes bestias son cuatro reyes que se levantarán en la tierra"", ""Estas dos cuernos grandes bestias son cuatro reyes que se levantarán en la tierra"", ""Estas cuatro grandes bestias son cuatro reyes que se levantarán en la tierra""]",3,Estas cuatro grandes bestias son cuatro reyes que se levantarán en la tierra,La opción correcta conserva el detalle «cuatro» tal como aparece en la fuente: «Estas cuatro grandes bestias son cuatro reyes que se levantarán en la tierra».,Estas cuatro grandes bestias son cuatro reyes que se levantarán en la tierra,DAN7-V17-F01,DAN7-V17-F01-VARIANTS,verified,
DAN7-0018,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:18",fill_blank,expert,estado de Daniel e interpretación,"Según PDF p.17, Daniel 7:18, en el pasaje sobre estado de Daniel e interpretación, complete la formulación del PDF: «Después recibirán el reino los _____, y poseerán el reino hasta el siglo, eternamente y para siempre.”»","[""naves de Quitim"", ""santos del Altísimo"", ""alas de águila"", ""miles de miles""]",1,santos del Altísimo,"El PDF emplea la expresión «santos del Altísimo» en este contexto: «Después recibirán el reino los santos del Altísimo, y poseerán el reino hasta el siglo».","Después recibirán el reino los santos del Altísimo, y poseerán el reino hasta el siglo",DAN7-V18-F01,DAN7-V18-F01-VARIANTS,verified,
DAN7-0019,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:19",multiple_choice,expert,guerra contra los santos y justicia,"Según PDF p.17, Daniel 7:19, en el pasaje sobre guerra contra los santos y justicia, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «cuarta bestia, que era tan [DETALLE] de todas las otras, espantosa en gran»","[""cuarta bestia, que era tan diferente de todas las otras, espantosa en gran"", ""cuarta bestia, que era tan Aconteció de todas las otras, espantosa en gran"", ""cuarta bestia, que era tan asoladora de todas las otras, espantosa en gran"", ""cuarta bestia, que era tan espantosa de todas las otras, espantosa en gran""]",0,"cuarta bestia, que era tan diferente de todas las otras, espantosa en gran","La opción correcta conserva el detalle «diferente» tal como aparece en la fuente: «cuarta bestia, que era tan diferente de todas las otras, espantosa en gran».","cuarta bestia, que era tan diferente de todas las otras, espantosa en gran",DAN7-V19-F01,DAN7-V19-F01-VARIANTS,verified,
DAN7-0020,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:20",true_false,expert,guerra contra los santos y justicia,"Según PDF p.17, Daniel 7:20, en el pasaje sobre guerra contra los santos y justicia, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «asimismo acerca de los ⟦setenta años⟧ que tenía en su cabeza, y del otro que le había salido, ante el cual habían caído tres.»","[""Verdadero"", ""Falso""]",1,Falso,"La afirmación cambia «diez cuernos». La corrección exacta es: «asimismo acerca de los diez cuernos que tenía en su cabeza, y del otro que le había salido, ante el cual habían caído tres.»","asimismo acerca de los diez cuernos que tenía en su cabeza, y del",DAN7-V20-F01,DAN7-V20-F01-VARIANTS,verified,"asimismo acerca de los diez cuernos que tenía en su cabeza, y del otro que le había salido, ante el cual habían caído tres."
DAN7-0021,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:21",fill_blank,easy,guerra contra los santos y justicia,"Según PDF p.17, Daniel 7:21, en el pasaje sobre guerra contra los santos y justicia, complete la formulación del PDF: «Y veía yo que este _____ hacía guerra contra los santos y los vencía,»","[""cabrío"", ""cierra"", ""cuerno"", ""creció""]",2,cuerno,El PDF emplea la expresión «cuerno» en este contexto: «Y veía yo que este cuerno hacía guerra contra los santos y los».,Y veía yo que este cuerno hacía guerra contra los santos y los,DAN7-V21-F01,DAN7-V21-F01-VARIANTS,verified,
DAN7-0022,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:22",multiple_choice,expert,guerra contra los santos y justicia,"Según PDF p.17, Daniel 7:22, en el pasaje sobre guerra contra los santos y justicia, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «hasta que vino el [DETALLE], y se hizo justicia a los santos»","[""hasta que vino el hijo de hombre, y se hizo justicia a los santos"", ""hasta que vino el Anciano de días, y se hizo justicia a los santos"", ""hasta que vino el tiempo del fin, y se hizo justicia a los santos"", ""hasta que vino el corazón de hombre, y se hizo justicia a los santos""]",1,"hasta que vino el Anciano de días, y se hizo justicia a los santos","La opción correcta conserva el detalle «Anciano de días» tal como aparece en la fuente: «hasta que vino el Anciano de días, y se hizo justicia a los santos».","hasta que vino el Anciano de días, y se hizo justicia a los santos",DAN7-V22-F01,DAN7-V22-F01-VARIANTS,verified,
DAN7-0023,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:23",true_false,hard,"cuarto reino, cuernos, tiempo y juicio","Según PDF p.17, Daniel 7:23, en el pasaje sobre cuarto reino, cuernos, tiempo y juicio, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «Dijo así: »“La cuarta bestia será un cuarto reino en la tierra, el cual será ⟦diferente⟧ de todos los otros reinos, y a toda la tierra devorará, trillará y despedazará.»","[""Verdadero"", ""Falso""]",0,Verdadero,"La afirmación coincide con el PDF: «la tierra, el cual será diferente de todos los otros reinos, y a».","la tierra, el cual será diferente de todos los otros reinos, y a",DAN7-V23-F01,DAN7-V23-F01-VARIANTS,verified,
DAN7-0024,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:24",fill_blank,hard,"cuarto reino, cuernos, tiempo y juicio","Según PDF p.17, Daniel 7:24, en el pasaje sobre cuarto reino, cuernos, tiempo y juicio, complete la formulación del PDF: «Los _____ significan que de aquel reino se levantarán diez reyes»","[""setenta años"", ""tres semanas"", ""cuatro reinos"", ""diez cuernos""]",3,diez cuernos,El PDF emplea la expresión «diez cuernos» en este contexto: «Los diez cuernos significan que de aquel reino se levantarán».,Los diez cuernos significan que de aquel reino se levantarán,DAN7-V24-F01,DAN7-V24-F01-VARIANTS,verified,
DAN7-0025,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:25",multiple_choice,expert,"cuarto reino, cuernos, tiempo y juicio","Según PDF p.17, Daniel 7:25, en el pasaje sobre cuarto reino, cuernos, tiempo y juicio, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «contra el Altísimo, a los [DETALLE] quebrantará y pensará en cambiar los tiempos»","[""contra el Altísimo, a los naves de Quitim quebrantará y pensará en cambiar los tiempos"", ""contra el Altísimo, a los alas de águila quebrantará y pensará en cambiar los tiempos"", ""contra el Altísimo, a los santos del Altísimo quebrantará y pensará en cambiar los tiempos"", ""contra el Altísimo, a los miles de miles quebrantará y pensará en cambiar los tiempos""]",2,"contra el Altísimo, a los santos del Altísimo quebrantará y pensará en cambiar los tiempos","La opción correcta conserva el detalle «santos del Altísimo» tal como aparece en la fuente: «contra el Altísimo, a los santos del Altísimo quebrantará y pensará en cambiar los tiempos».","contra el Altísimo, a los santos del Altísimo quebrantará y pensará en cambiar los tiempos",DAN7-V25-F01,DAN7-V25-F01-VARIANTS,verified,
DAN7-0026,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:26",true_false,hard,"cuarto reino, cuernos, tiempo y juicio","Según PDF p.17, Daniel 7:26, en el pasaje sobre cuarto reino, cuernos, tiempo y juicio, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «Pero se sentará el Juez, y le quitarán su dominio, para que sea ⟦arruinado⟧ y arruinado hasta el fin,»","[""Verdadero"", ""Falso""]",1,Falso,"La afirmación cambia «destruido». La corrección exacta es: «Pero se sentará el Juez, y le quitarán su dominio, para que sea destruido y arruinado hasta el fin,»","su dominio, para que sea destruido y arruinado hasta el fin",DAN7-V26-F01,DAN7-V26-F01-VARIANTS,verified,"Pero se sentará el Juez, y le quitarán su dominio, para que sea destruido y arruinado hasta el fin,"
DAN7-0027,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:27",fill_blank,expert,"cuarto reino, cuernos, tiempo y juicio","Según PDF p.17, Daniel 7:27, en el pasaje sobre cuarto reino, cuernos, tiempo y juicio, complete la formulación del PDF: «y que el reino, el dominio y la majestad de los reinos debajo de todo el cielo sean dados al pueblo de los _____, cuyo reino es reino eterno, y todos los dominios lo servirán y obedecerán.”»","[""santos del Altísimo"", ""naves de Quitim"", ""alas de águila"", ""miles de miles""]",0,santos del Altísimo,"El PDF emplea la expresión «santos del Altísimo» en este contexto: «dados al pueblo de los santos del Altísimo, cuyo reino es reino eterno, y todos».","dados al pueblo de los santos del Altísimo, cuyo reino es reino eterno, y todos",DAN7-V27-F01,DAN7-V27-F01-VARIANTS,verified,
DAN7-0028,DANIEL7-12,DAN7,"PDF p.17, Daniel 7:28",multiple_choice,medium,reacción final de Daniel,"Según PDF p.17, Daniel 7:28, en el pasaje sobre reacción final de Daniel, ¿Cuál opción conserva el dato exacto de la fuente? Marco: «cuanto a mí, Daniel, mis [DETALLE] me turbaron y mi rostro se demudó»","[""cuanto a mí, Daniel, mis desolaciones me turbaron y mi rostro se demudó"", ""cuanto a mí, Daniel, mis mandamientos me turbaron y mi rostro se demudó"", ""cuanto a mí, Daniel, mis angustiosos me turbaron y mi rostro se demudó"", ""cuanto a mí, Daniel, mis pensamientos me turbaron y mi rostro se demudó""]",3,"cuanto a mí, Daniel, mis pensamientos me turbaron y mi rostro se demudó","La opción correcta conserva el detalle «pensamientos» tal como aparece en la fuente: «cuanto a mí, Daniel, mis pensamientos me turbaron y mi rostro se demudó».","cuanto a mí, Daniel, mis pensamientos me turbaron y mi rostro se demudó",DAN7-V28-F02,DAN7-V28-F02-VARIANTS,verified,
DAN7-0029,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:1",true_false,medium,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:1, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «luego escribió el sueño y relató lo ⟦Aconteció⟧ del asunto.»","[""Verdadero"", ""Falso""]",1,Falso,La afirmación cambia «principal». La corrección exacta es: «luego escribió el sueño y relató lo principal del asunto.»,el sueño y relató lo principal del asunto,DAN7-V1-F09,DAN7-V1-F09-VARIANTS,verified,luego escribió el sueño y relató lo principal del asunto.
DAN7-0030,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:2",fill_blank,expert,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:2, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, complete la formulación del PDF: «Daniel dijo: «Miraba yo en mi visión de noche, y vi que los cuatro vientos del cielo combatían en el _____.»","[""muy amado"", ""gran mar"", ""pacto santo"", ""reino eterno""]",1,gran mar,El PDF emplea la expresión «gran mar» en este contexto: «del cielo combatían en el gran mar».,del cielo combatían en el gran mar,DAN7-V2-F02,DAN7-V2-F02-VARIANTS,verified,
DAN7-0031,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:3",multiple_choice,medium,"año, visión, vientos, mar y cuatro bestias","Según PDF p.16, Daniel 7:3, en el pasaje sobre año, visión, vientos, mar y cuatro bestias, ¿Cuál opción conserva el dato exacto de la fuente? Marco: «Y cuatro bestias grandes, [DETALLE] la una de la otra, subían del»","[""Y cuatro bestias grandes, diferentes la una de la otra, subían del"", ""Y cuatro bestias grandes, maravillas la una de la otra, subían del"", ""Y cuatro bestias grandes, obedecimos la una de la otra, subían del"", ""Y cuatro bestias grandes, angustiosos la una de la otra, subían del""]",0,"Y cuatro bestias grandes, diferentes la una de la otra, subían del","La opción correcta conserva el detalle «diferentes» tal como aparece en la fuente: «Y cuatro bestias grandes, diferentes la una de la otra, subían del».","Y cuatro bestias grandes, diferentes la una de la otra, subían del",DAN7-V3-F02,DAN7-V3-F02-VARIANTS,verified,
DAN7-0032,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:4",true_false,expert,primera bestia,"Según PDF p.16, Daniel 7:4, en el pasaje sobre primera bestia, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «fue levantada del suelo y se puso enhiesta sobre los pies, a manera de hombre, y se le dio ⟦corazón de hombre⟧.»","[""Verdadero"", ""Falso""]",0,Verdadero,"La afirmación coincide con el PDF: «hombre, y se le dio corazón de hombre».","hombre, y se le dio corazón de hombre",DAN7-V4-F08,DAN7-V4-F08-VARIANTS,verified,
DAN7-0033,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:5",fill_blank,medium,segunda bestia,"Según PDF p.16, Daniel 7:5, en el pasaje sobre segunda bestia, complete la formulación del PDF: «Vi luego una segunda bestia, _____ a un oso, la cual se alzaba de un costado más que del otro.»","[""Aconteció"", ""asoladora"", ""semejante"", ""diferente""]",2,semejante,"El PDF emplea la expresión «semejante» en este contexto: «Vi luego una segunda bestia, semejante a un oso, la cual se alzaba».","Vi luego una segunda bestia, semejante a un oso, la cual se alzaba",DAN7-V5-F01,DAN7-V5-F01-VARIANTS,verified,
DAN7-0034,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:6",multiple_choice,hard,tercera bestia,"Según PDF p.16, Daniel 7:6, en el pasaje sobre tercera bestia, ¿Qué opción restituye con precisión la relación descrita? Marco: «Esta bestia tenía [DETALLE]»","[""Esta bestia tenía tres costillas"", ""Esta bestia tenía cuatro cabezas"", ""Esta bestia tenía cuatro reinos"", ""Esta bestia tenía setenta semanas""]",1,Esta bestia tenía cuatro cabezas,La opción correcta conserva el detalle «cuatro cabezas» tal como aparece en la fuente: «Esta bestia tenía cuatro cabezas».,Esta bestia tenía cuatro cabezas,DAN7-V6-F06,DAN7-V6-F06-VARIANTS,verified,
DAN7-0035,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:7",true_false,hard,cuarta bestia y cuerno pequeño,"Según PDF p.16, Daniel 7:7, en el pasaje sobre cuarta bestia y cuerno pequeño, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «Después de esto miraba yo en las visiones de la noche, y vi la cuarta bestia, ⟦Aconteció⟧, terrible y en gran manera fuerte, la cual tenía unos grandes dientes de hierro»","[""Verdadero"", ""Falso""]",1,Falso,"La afirmación cambia «espantosa». La corrección exacta es: «Después de esto miraba yo en las visiones de la noche, y vi la cuarta bestia, espantosa, terrible y en gran manera fuerte, la cual tenía unos grandes dientes de hierro»","y vi la cuarta bestia, espantosa, terrible y en gran manera fuerte, la",DAN7-V7-F01,DAN7-V7-F01-VARIANTS,verified,"Después de esto miraba yo en las visiones de la noche, y vi la cuarta bestia, espantosa, terrible y en gran manera fuerte, la cual tenía unos grandes dientes de hierro"
DAN7-0036,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:8",fill_blank,hard,cuarta bestia y cuerno pequeño,"Según PDF p.16, Daniel 7:8, en el pasaje sobre cuarta bestia y cuerno pequeño, complete la formulación del PDF: «Mientras yo _____ los cuernos, otro cuerno pequeño salió entre ellos, y delante de él fueron arrancados tres cuernos de los primeros.»","[""consideraba"", ""desmenuzaba"", ""engrandecía"", ""contemplaba""]",3,contemplaba,"El PDF emplea la expresión «contemplaba» en este contexto: «Mientras yo contemplaba los cuernos, otro cuerno pequeño salió entre».","Mientras yo contemplaba los cuernos, otro cuerno pequeño salió entre",DAN7-V8-F02,DAN7-V8-F02-VARIANTS,verified,
DAN7-0037,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:9",multiple_choice,expert,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:9, en el pasaje sobre Anciano de días, juicio y bestias, ¿Cuál opción mantiene sin alterar el detalle y el orden de la fuente? Marco: «Su vestido era [DETALLE]»","[""Su vestido era dios de las fortalezas"", ""Su vestido era libro de la verdad"", ""Su vestido era blanco como la nieve"", ""Su vestido era sacrificio de la tarde""]",2,Su vestido era blanco como la nieve,La opción correcta conserva el detalle «blanco como la nieve» tal como aparece en la fuente: «Su vestido era blanco como la nieve».,Su vestido era blanco como la nieve,DAN7-V9-F08,DAN7-V9-F08-VARIANTS,verified,
DAN7-0038,DANIEL7-12,DAN7,"PDF p.16, Daniel 7:10",true_false,expert,"Anciano de días, juicio y bestias","Según PDF p.16, Daniel 7:10, en el pasaje sobre Anciano de días, juicio y bestias, determine si el detalle entre corchetes hace verdadera o falsa esta afirmación: «⟦miles de miles⟧ lo servían, y millones de millones estaban delante de él.»","[""Verdadero"", ""Falso""]",0,Verdadero,"La afirmación coincide con el PDF: «miles de miles lo servían, y millones de millones estaban».","miles de miles lo servían, y millones de millones estaban",DAN7-V10-F05,DAN7-V10-F05-VARIANTS,verified,
