id,fact_id,variant_id,template_id,bank,chapter,verse_or_page,source_span,type,difficulty,topic,context_anchor,question,options,correct_option,correct_answer,accepted_answers,answer_mode,explanation,why_distractors_fail,source_quote,trap_type,blind_final_pool,validation_status,incorrect_detail,correction
DAN4-0463,DAN4-V19-S01-F01,DAN4-V19-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:19","Entonces Daniel, cuyo nombre era Beltsasar, quedó atónito casi una hora, y sus pensamientos lo turbaban.",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:19)",Entonces Daniel cuyo nombre era Beltsasar quedó atónito casi una hora y sus pensamientos,"Según 10, Daniel 4:19, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:19), seleccione las palabras que restituyen el detalle omitido: «Entonces Daniel, cuyo nombre era _____, quedó atónito casi una hora, y sus pensamientos lo turbaban.»","[""Mesac"", ""Nabucodonosor"", ""Beltsasar"", ""Abed-nego""]",2,Beltsasar,"[""Beltsasar""]",exact_text,"La expresión omitida es «Beltsasar»; el respaldo breve dice: «Entonces Daniel, cuyo nombre era Beltsasar, quedó atónito casi una hora, y sus».","{""Mesac"": ""«Mesac» procede de 8, Daniel 3:26, no del espacio exacto solicitado."", ""Nabucodonosor"": ""«Nabucodonosor» procede de 8, Daniel 3:28, no del espacio exacto solicitado."", ""Abed-nego"": ""«Abed-nego» procede de 8, Daniel 3:28, no del espacio exacto solicitado.""}","Entonces Daniel, cuyo nombre era Beltsasar, quedó atónito casi una hora, y sus",close_detail,False,verified,,
DAN4-0464,DAN4-V19-S02-F01,DAN4-V19-S02-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:19","El rey habló y dijo: —Beltsasar, no te turben ni el sueño ni su interpretación.",fill_blank,medium,"árbol, advertencia, humillación y restauración (Daniel 4:19)",El rey habló y dijo Beltsasar no te turben ni el sueño ni su,"Según 10, Daniel 4:19, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:19), seleccione las palabras que restituyen el detalle omitido: «El rey habló y dijo: —_____, no te turben ni el sueño ni su interpretación.»","[""Nabucodonosor"", ""Abed-nego"", ""Bendito"", ""Beltsasar""]",3,Beltsasar,"[""Beltsasar""]",exact_text,"La expresión omitida es «Beltsasar»; el respaldo breve dice: «El rey habló y dijo: —Beltsasar, no te turben ni el sueño ni».","{""Nabucodonosor"": ""«Nabucodonosor» procede de 8, Daniel 3:28, no del espacio exacto solicitado."", ""Abed-nego"": ""«Abed-nego» procede de 8, Daniel 3:28, no del espacio exacto solicitado."", ""Bendito"": ""«Bendito» procede de 8, Daniel 3:28, no del espacio exacto solicitado.""}","El rey habló y dijo: —Beltsasar, no te turben ni el sueño ni",close_detail,True,verified,,
DAN4-0465,DAN4-V19-S03-F01,DAN4-V19-S03-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:19","Beltsasar respondió y dijo: —Señor mío, el sueño sea para tus enemigos y su interpretación para los que mal te quieren.",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:19)",Beltsasar respondió y dijo Señor mío el sueño sea para tus enemigos y su,"Según 10, Daniel 4:19, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:19), seleccione las palabras que restituyen el detalle omitido: «Beltsasar respondió y dijo: —_____ mío, el sueño sea para tus enemigos y su interpretación para los que mal te quieren.»","[""Señor"", ""Abed-nego"", ""Bendito"", ""Sadrac""]",0,Señor,"[""Señor""]",exact_text,"La expresión omitida es «Señor»; el respaldo breve dice: «Beltsasar respondió y dijo: —Señor mío, el sueño sea para tus enemigos».","{""Abed-nego"": ""«Abed-nego» procede de 8, Daniel 3:28, no del espacio exacto solicitado."", ""Bendito"": ""«Bendito» procede de 8, Daniel 3:28, no del espacio exacto solicitado."", ""Sadrac"": ""«Sadrac» procede de 8, Daniel 3:28, no del espacio exacto solicitado.""}","Beltsasar respondió y dijo: —Señor mío, el sueño sea para tus enemigos",close_detail,False,verified,,
DAN4-0466,DAN4-V20-S01-F01,DAN4-V20-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:20","El árbol que viste, que crecía y se hacía fuerte, cuya copa llegaba hasta el cielo, que se veía desde todos los confines de la tierra,",fill_blank,expert,"árbol, advertencia, humillación y restauración (Daniel 4:20)",El árbol que viste que crecía y se hacía fuerte cuya copa llegaba hasta,"Según 10, Daniel 4:20, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:20), seleccione las palabras que restituyen el detalle omitido: «El árbol que viste, que crecía y se hacía fuerte, cuya copa _____ hasta el cielo, que se veía desde todos los confines de la tierra,»","[""trajo"", ""llegaba"", ""respondió"", ""mataba""]",1,llegaba,"[""llegaba""]",exact_text,"La expresión omitida es «llegaba»; el respaldo breve dice: «se hacía fuerte, cuya copa llegaba hasta el cielo, que se veía desde».","{""trajo"": ""«trajo» procede de 12, Daniel 5:13, no del espacio exacto solicitado."", ""respondió"": ""«respondió» procede de 13, Daniel 5:17, no del espacio exacto solicitado."", ""mataba"": ""«mataba» procede de 13, Daniel 5:19, no del espacio exacto solicitado.""}","se hacía fuerte, cuya copa llegaba hasta el cielo, que se veía desde",close_detail,False,verified,,
DAN4-0467,DAN4-V21-S01-F01,DAN4-V21-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:21","cuyo follaje era hermoso y su fruto abundante, en el que había alimento para todos, debajo del cual vivían las bestias del campo y en cuyas ramas anidaban las aves del cielo,",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:21)",cuyo follaje era hermoso y su fruto abundante en el que había alimento para,"Según 10, Daniel 4:21, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:21), seleccione las palabras que restituyen el detalle omitido: «cuyo _____ y su fruto abundante, en el que había alimento para todos, debajo del cual vivían las bestias del campo y en cuyas ramas anidaban las aves del cielo,»","[""hizo saber"", ""cielo sobre este"", ""follaje era hermoso"", ""compañeros no perecieran""]",2,follaje era hermoso,"[""follaje era hermoso""]",exact_text,"La expresión omitida es «follaje era hermoso»; el respaldo breve dice: «cuyo follaje era hermoso y su fruto abundante, en el que».","{""hizo saber"": ""«hizo saber» procede de 5, Daniel 2:17, no del espacio exacto solicitado."", ""cielo sobre este"": ""«cielo sobre este» procede de 5, Daniel 2:18, no del espacio exacto solicitado."", ""compañeros no perecieran"": ""«compañeros no perecieran» procede de 5, Daniel 2:18, no del espacio exacto solicitado.""}","cuyo follaje era hermoso y su fruto abundante, en el que",close_detail,False,verified,,
DAN4-0468,DAN4-V22-S01-F01,DAN4-V22-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:22","tú mismo eres, oh rey, que creciste y te hiciste fuerte, pues creció tu grandeza y ha llegado hasta el cielo, y tu dominio hasta los confines de la tierra.",fill_blank,medium,"árbol, advertencia, humillación y restauración (Daniel 4:22)",tú mismo eres oh rey que creciste y te hiciste fuerte pues creció tu,"Según 10, Daniel 4:22, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:22), seleccione las palabras que restituyen el detalle omitido: «_____, oh rey, que creciste y te hiciste fuerte, pues creció tu grandeza y ha llegado hasta el cielo, y tu dominio hasta los confines de la tierra.»","[""Nuestro Dios"", ""quien servimos"", ""tus manos"", ""tú mismo eres""]",3,tú mismo eres,"[""tú mismo eres""]",exact_text,"La expresión omitida es «tú mismo eres»; el respaldo breve dice: «tú mismo eres, oh rey, que creciste y te hiciste».","{""Nuestro Dios"": ""«Nuestro Dios» procede de 7, Daniel 3:17, no del espacio exacto solicitado."", ""quien servimos"": ""«quien servimos» procede de 7, Daniel 3:17, no del espacio exacto solicitado."", ""tus manos"": ""«tus manos» procede de 7, Daniel 3:17, no del espacio exacto solicitado.""}","tú mismo eres, oh rey, que creciste y te hiciste",close_detail,False,verified,,
DAN4-0469,DAN4-V23-S01-F01,DAN4-V23-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:23","En cuanto a lo que vio el rey, un vigilante y santo que descendía del cielo y decía: “Cortad el árbol y destruidlo",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:23)",En cuanto a lo que vio el rey un vigilante y santo que descendía,"Según 10, Daniel 4:23, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:23), seleccione las palabras que restituyen el detalle omitido: «En cuanto a lo que vio el rey, un vigilante y santo que descendía del cielo y decía: “_____ el árbol y destruidlo»","[""Cortad"", ""Abed-nego"", ""Sadrac"", ""Mesac""]",0,Cortad,"[""Cortad""]",exact_text,La expresión omitida es «Cortad»; el respaldo breve dice: «descendía del cielo y decía: “Cortad el árbol y destruidlo».,"{""Abed-nego"": ""«Abed-nego» procede de 8, Daniel 3:29, no del espacio exacto solicitado."", ""Sadrac"": ""«Sadrac» procede de 8, Daniel 3:29, no del espacio exacto solicitado."", ""Mesac"": ""«Mesac» procede de 8, Daniel 3:29, no del espacio exacto solicitado.""}",descendía del cielo y decía: “Cortad el árbol y destruidlo,close_detail,True,verified,,
DAN4-0470,DAN4-V23-S02-F01,DAN4-V23-S02-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:23","mas la cepa de sus raíces dejaréis en la tierra, con atadura de hierro y de bronce en la hierba del campo",fill_blank,expert,"árbol, advertencia, humillación y restauración (Daniel 4:23)",mas la cepa de sus raíces dejaréis en la tierra con atadura de hierro,"Según 10, Daniel 4:23, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:23), seleccione las palabras que restituyen el detalle omitido: «mas la cepa de sus raíces dejaréis en la tierra, con _____ y de bronce en la hierba del campo»","[""visión de noche"", ""atadura de hierro"", ""bendito el nombre"", ""son el poder""]",1,atadura de hierro,"[""atadura de hierro""]",exact_text,"La expresión omitida es «atadura de hierro»; el respaldo breve dice: «dejaréis en la tierra, con atadura de hierro y de bronce en la hierba del».","{""visión de noche"": ""«visión de noche» procede de 5, Daniel 2:19, no del espacio exacto solicitado."", ""bendito el nombre"": ""«bendito el nombre» procede de 5, Daniel 2:20, no del espacio exacto solicitado."", ""son el poder"": ""«son el poder» procede de 5, Daniel 2:20, no del espacio exacto solicitado.""}","dejaréis en la tierra, con atadura de hierro y de bronce en la hierba del",close_detail,False,verified,,
DAN4-0471,DAN4-V23-S03-F01,DAN4-V23-S03-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:23","que lo empape el rocío del cielo, y con las bestias del campo sea su parte hasta que pasen sobre él siete tiempos”,",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:23)",que lo empape el rocío del cielo y con las bestias del campo sea,"Según 10, Daniel 4:23, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:23), seleccione las palabras que restituyen el detalle omitido: «que lo empape el rocío del cielo, y con las bestias del campo sea su parte hasta que pasen sobre él _____ tiempos”,»","[""treinta"", ""cuatro"", ""siete"", ""millones""]",2,siete,"[""siete""]",exact_text,La expresión omitida es «siete»; el respaldo breve dice: «hasta que pasen sobre él siete tiempos».,"{""treinta"": ""«treinta» procede de 14, Daniel 6:12, no del espacio exacto solicitado."", ""cuatro"": ""«cuatro» procede de 16, Daniel 7:2, no del espacio exacto solicitado."", ""millones"": ""«millones» procede de 16, Daniel 7:10, no del espacio exacto solicitado.""}",hasta que pasen sobre él siete tiempos,close_detail,False,verified,,
DAN4-0472,DAN4-V24-S01-F01,DAN4-V24-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:24","ésta es la interpretación, oh rey, y la sentencia del Altísimo, que ha venido sobre mi señor, el rey:",fill_blank,medium,"árbol, advertencia, humillación y restauración (Daniel 4:24)",ésta es la interpretación oh rey y la sentencia del Altísimo que ha venido,"Según 10, Daniel 4:24, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:24), seleccione las palabras que restituyen el detalle omitido: «ésta es la interpretación, oh rey, y la sentencia del _____, que ha venido sobre mi señor, el rey:»","[""Abed-nego"", ""Babilonia"", ""Sadrac"", ""Altísimo""]",3,Altísimo,"[""Altísimo""]",exact_text,"La expresión omitida es «Altísimo»; el respaldo breve dice: «rey, y la sentencia del Altísimo, que ha venido sobre mi señor, el».","{""Abed-nego"": ""«Abed-nego» procede de 8, Daniel 3:30, no del espacio exacto solicitado."", ""Babilonia"": ""«Babilonia» procede de 8, Daniel 3:30, no del espacio exacto solicitado."", ""Sadrac"": ""«Sadrac» procede de 8, Daniel 3:30, no del espacio exacto solicitado.""}","rey, y la sentencia del Altísimo, que ha venido sobre mi señor, el",close_detail,False,verified,,
DAN4-0473,DAN4-V25-S01-F01,DAN4-V25-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:25","Que te echarán de entre los hombres y con las bestias del campo será tu habitación, con hierba del campo te apacentarán como a los bueyes y con el rocío del cielo serás bañado",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:25)",Que te echarán de entre los hombres y con las bestias del campo será,"Según 10, Daniel 4:25, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:25), seleccione las palabras que restituyen el detalle omitido: «Que te echarán de entre los hombres y con las _____ será tu habitación, con hierba del campo te apacentarán como a los bueyes y con el rocío del cielo serás bañado»","[""bestias del campo"", ""reyes y pone"", ""da la sabiduría"", ""revela lo profundo""]",0,bestias del campo,"[""bestias del campo""]",exact_text,"La expresión omitida es «bestias del campo»; el respaldo breve dice: «los hombres y con las bestias del campo será tu habitación, con hierba del campo».","{""reyes y pone"": ""«reyes y pone» procede de 5, Daniel 2:21, no del espacio exacto solicitado."", ""da la sabiduría"": ""«da la sabiduría» procede de 5, Daniel 2:21, no del espacio exacto solicitado."", ""revela lo profundo"": ""«revela lo profundo» procede de 5, Daniel 2:22, no del espacio exacto solicitado.""}","los hombres y con las bestias del campo será tu habitación, con hierba del campo",close_detail,True,verified,,
DAN4-0474,DAN4-V25-S02-F01,DAN4-V25-S02-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:25","y siete tiempos pasarán sobre ti, hasta que conozcas que el Altísimo tiene dominio en el reino de los hombres, y que lo da a quien él quiere.",fill_blank,expert,"árbol, advertencia, humillación y restauración (Daniel 4:25)",y siete tiempos pasarán sobre ti hasta que conozcas que el Altísimo tiene dominio,"Según 10, Daniel 4:25, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:25), seleccione las palabras que restituyen el detalle omitido: «y siete tiempos pasarán sobre ti, hasta que conozcas que el _____ tiene dominio en el reino de los hombres, y que lo da a quien él quiere.»","[""Sadrac"", ""Altísimo"", ""Mesac"", ""Nabucodonosor""]",1,Altísimo,"[""Altísimo""]",exact_text,La expresión omitida es «Altísimo»; el respaldo breve dice: «hasta que conozcas que el Altísimo tiene dominio en el reino de los».,"{""Sadrac"": ""«Sadrac» procede de 8, Daniel 3:30, no del espacio exacto solicitado."", ""Mesac"": ""«Mesac» procede de 8, Daniel 3:30, no del espacio exacto solicitado."", ""Nabucodonosor"": ""«Nabucodonosor» procede de 9, Daniel 4:4, no del espacio exacto solicitado.""}",hasta que conozcas que el Altísimo tiene dominio en el reino de los,close_detail,False,verified,,
DAN4-0475,DAN4-V26-S01-F01,DAN4-V26-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:26","Y en cuanto a la orden de dejar en la tierra la cepa de las raíces del mismo árbol, significa que tu reino te quedará firme, después que reconozcas que es el cielo el que gobierna.",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:26)",Y en cuanto a la orden de dejar en la tierra la cepa de,"Según 10, Daniel 4:26, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:26), seleccione las palabras que restituyen el detalle omitido: «Y en cuanto a la _____ en la tierra la cepa de las raíces del mismo árbol, significa que tu reino te quedará firme, después que reconozcas que es el cielo el que gobierna.»","[""revela lo profundo"", ""has dado sabiduría"", ""orden de dejar"", ""dado a conocer""]",2,orden de dejar,"[""orden de dejar""]",exact_text,La expresión omitida es «orden de dejar»; el respaldo breve dice: «Y en cuanto a la orden de dejar en la tierra la cepa de las».,"{""revela lo profundo"": ""«revela lo profundo» procede de 5, Daniel 2:22, no del espacio exacto solicitado."", ""has dado sabiduría"": ""«has dado sabiduría» procede de 5, Daniel 2:23, no del espacio exacto solicitado."", ""dado a conocer"": ""«dado a conocer» procede de 5, Daniel 2:23, no del espacio exacto solicitado.""}",Y en cuanto a la orden de dejar en la tierra la cepa de las,close_detail,False,verified,,
DAN4-0476,DAN4-V27-S01-F01,DAN4-V27-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:27","Por tanto, oh rey, acepta mi consejo: redime tus pecados con justicia, y tus iniquidades haciendo misericordias con los oprimidos, pues tal vez será eso una prolongación de tu tranquilidad.",fill_blank,medium,"árbol, advertencia, humillación y restauración (Daniel 4:27)",Por tanto oh rey acepta mi consejo redime tus pecados con justicia y tus,"Según 10, Daniel 4:27, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:27), seleccione las palabras que restituyen el detalle omitido: «Por tanto, oh rey, _____: redime tus pecados con justicia, y tus iniquidades haciendo misericordias con los oprimidos, pues tal vez será eso una prolongación de tu tranquilidad.»","[""has dado sabiduría"", ""dado a conocer"", ""asunto del rey"", ""acepta mi consejo""]",3,acepta mi consejo,"[""acepta mi consejo""]",exact_text,"La expresión omitida es «acepta mi consejo»; el respaldo breve dice: «Por tanto, oh rey, acepta mi consejo: redime tus pecados con justicia, y tus».","{""has dado sabiduría"": ""«has dado sabiduría» procede de 5, Daniel 2:23, no del espacio exacto solicitado."", ""dado a conocer"": ""«dado a conocer» procede de 5, Daniel 2:23, no del espacio exacto solicitado."", ""asunto del rey"": ""«asunto del rey» procede de 5, Daniel 2:23, no del espacio exacto solicitado.""}","Por tanto, oh rey, acepta mi consejo: redime tus pecados con justicia, y tus",close_detail,False,verified,,
DAN4-0477,DAN4-V28-S01-F01,DAN4-V28-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:28",Todo esto vino sobre el rey Nabucodonosor:,fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:28)",Todo esto vino sobre el rey Nabucodonosor,"Según 10, Daniel 4:28, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:28), seleccione las palabras que restituyen el detalle omitido: «Todo esto vino sobre el rey _____:»","[""Nabucodonosor"", ""Babilonia"", ""Beltsasar"", ""Daniel""]",0,Nabucodonosor,"[""Nabucodonosor""]",exact_text,La expresión omitida es «Nabucodonosor»; el respaldo breve dice: «esto vino sobre el rey Nabucodonosor».,"{""Babilonia"": ""«Babilonia» procede de 9, Daniel 4:6, no del espacio exacto solicitado."", ""Beltsasar"": ""«Beltsasar» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Daniel"": ""«Daniel» procede de 9, Daniel 4:8, no del espacio exacto solicitado.""}",esto vino sobre el rey Nabucodonosor,close_detail,False,verified,,
DAN4-0478,DAN4-V29-S01-F01,DAN4-V29-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:29","Al cabo de doce meses, paseando por el palacio real de Babilonia,",fill_blank,expert,"árbol, advertencia, humillación y restauración (Daniel 4:29)",Al cabo de doce meses paseando por el palacio real de Babilonia,"Según 10, Daniel 4:29, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:29), seleccione las palabras que restituyen el detalle omitido: «Al cabo de doce meses, paseando por el palacio real de _____,»","[""Beltsasar"", ""Babilonia"", ""Daniel"", ""Derribad""]",1,Babilonia,"[""Babilonia""]",exact_text,La expresión omitida es «Babilonia»; el respaldo breve dice: «por el palacio real de Babilonia».,"{""Beltsasar"": ""«Beltsasar» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Daniel"": ""«Daniel» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Derribad"": ""«Derribad» procede de 9, Daniel 4:14, no del espacio exacto solicitado.""}",por el palacio real de Babilonia,close_detail,False,verified,,
DAN4-0479,DAN4-V30-S01-F01,DAN4-V30-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"10, Daniel 4:30","habló el rey y dijo: «¿No es ésta la gran Babilonia que yo edifiqué para casa real con la fuerza de mi poder, y para gloria de mi majestad?",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:30)",habló el rey y dijo No es ésta la gran Babilonia que yo edifiqué,"Según 10, Daniel 4:30, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:30), seleccione las palabras que restituyen el detalle omitido: «habló el rey y dijo: «¿No es ésta la gran _____ que yo edifiqué para casa real con la fuerza de mi poder, y para gloria de mi majestad?»","[""Beltsasar"", ""Daniel"", ""Babilonia"", ""Derribad""]",2,Babilonia,"[""Babilonia""]",exact_text,La expresión omitida es «Babilonia»; el respaldo breve dice: «No es ésta la gran Babilonia que yo edifiqué para casa real con».,"{""Beltsasar"": ""«Beltsasar» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Daniel"": ""«Daniel» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Derribad"": ""«Derribad» procede de 9, Daniel 4:14, no del espacio exacto solicitado.""}",No es ésta la gran Babilonia que yo edifiqué para casa real con,close_detail,False,verified,,
DAN4-0480,DAN4-V31-S01-F01,DAN4-V31-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"11, Daniel 4:31","Aún estaba la palabra en la boca del rey, cuando vino una voz del cielo: «A ti se te dice, rey Nabucodonosor: “El reino te ha sido quitado;",fill_blank,medium,"árbol, advertencia, humillación y restauración (Daniel 4:31)",Aún estaba la palabra en la boca del rey cuando vino una voz del,"Según 11, Daniel 4:31, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:31), seleccione las palabras que restituyen el detalle omitido: «Aún estaba la palabra en la boca del rey, cuando vino una voz del cielo: «A ti se te dice, rey _____: “El reino te ha sido quitado;»","[""Daniel"", ""Derribad"", ""Altísimo"", ""Nabucodonosor""]",3,Nabucodonosor,"[""Nabucodonosor""]",exact_text,"La expresión omitida es «Nabucodonosor»; el respaldo breve dice: «ti se te dice, rey Nabucodonosor: “El reino te ha sido quitado».","{""Daniel"": ""«Daniel» procede de 9, Daniel 4:8, no del espacio exacto solicitado."", ""Derribad"": ""«Derribad» procede de 9, Daniel 4:14, no del espacio exacto solicitado."", ""Altísimo"": ""«Altísimo» procede de 10, Daniel 4:17, no del espacio exacto solicitado.""}","ti se te dice, rey Nabucodonosor: “El reino te ha sido quitado",close_detail,False,verified,,
DAN4-0481,DAN4-V32-S01-F01,DAN4-V32-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"11, Daniel 4:32","de entre los hombres te arrojarán, con las bestias del campo será tu habitación y como a los bueyes te apacentarán",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:32)",de entre los hombres te arrojarán con las bestias del campo será tu habitación,"Según 11, Daniel 4:32, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:32), seleccione las palabras que restituyen el detalle omitido: «de entre los _____, con las bestias del campo será tu habitación y como a los bueyes te apacentarán»","[""hombres te arrojarán"", ""sabios de Babilonia"", ""presencia del rey"", ""daré la interpretación""]",0,hombres te arrojarán,"[""hombres te arrojarán""]",exact_text,"La expresión omitida es «hombres te arrojarán»; el respaldo breve dice: «de entre los hombres te arrojarán, con las bestias del campo será tu».","{""sabios de Babilonia"": ""«sabios de Babilonia» procede de 5, Daniel 2:24, no del espacio exacto solicitado."", ""presencia del rey"": ""«presencia del rey» procede de 5, Daniel 2:24, no del espacio exacto solicitado."", ""daré la interpretación"": ""«daré la interpretación» procede de 5, Daniel 2:24, no del espacio exacto solicitado.""}","de entre los hombres te arrojarán, con las bestias del campo será tu",close_detail,False,verified,,
DAN4-0482,DAN4-V32-S02-F01,DAN4-V32-S02-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"11, Daniel 4:32","y siete tiempos pasarán sobre ti, hasta que reconozcas que el Altísimo tiene el dominio en el reino de los hombres, y lo da a quien él quiere.”",fill_blank,expert,"árbol, advertencia, humillación y restauración (Daniel 4:32)",y siete tiempos pasarán sobre ti hasta que reconozcas que el Altísimo tiene el,"Según 11, Daniel 4:32, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:32), seleccione las palabras que restituyen el detalle omitido: «y siete tiempos pasarán sobre ti, hasta que reconozcas que el _____ tiene el dominio en el reino de los hombres, y lo da a quien él quiere.”»","[""Nabucodonosor"", ""Altísimo"", ""Beltsasar"", ""Daniel""]",1,Altísimo,"[""Altísimo""]",exact_text,La expresión omitida es «Altísimo»; el respaldo breve dice: «hasta que reconozcas que el Altísimo tiene el dominio en el reino de».,"{""Nabucodonosor"": ""«Nabucodonosor» procede de 10, Daniel 4:18, no del espacio exacto solicitado."", ""Beltsasar"": ""«Beltsasar» procede de 10, Daniel 4:18, no del espacio exacto solicitado."", ""Daniel"": ""«Daniel» procede de 10, Daniel 4:19, no del espacio exacto solicitado.""}",hasta que reconozcas que el Altísimo tiene el dominio en el reino de,close_detail,False,verified,,
DAN4-0483,DAN4-V33-S01-F01,DAN4-V33-S01-F01-FILL-CONTEXT-V2-02,fill-context-v2,DANIEL1-12,DAN4,"11, Daniel 4:33","En la misma hora se cumplió la palabra sobre Nabucodonosor: Fue echado de entre los hombres, comía hierba como los bueyes y su cuerpo se empapaba del rocío del cielo, hasta que su pelo creció como plumas de águila y sus uñas como las de las aves.",fill_blank,hard,"árbol, advertencia, humillación y restauración (Daniel 4:33)",En la misma hora se cumplió la palabra sobre Nabucodonosor Fue echado de entre,"Según 11, Daniel 4:33, en la escena sobre árbol, advertencia, humillación y restauración (Daniel 4:33), seleccione las palabras que restituyen el detalle omitido: «En la misma hora se cumplió la palabra sobre _____: Fue echado de entre los hombres, comía hierba como los bueyes y su cuerpo se empapaba del rocío del cielo, hasta que su pelo creció como plumas de águila y sus uñas como las de las aves.»","[""Beltsasar"", ""Daniel"", ""Nabucodonosor"", ""Señor""]",2,Nabucodonosor,"[""Nabucodonosor""]",exact_text,"La expresión omitida es «Nabucodonosor»; el respaldo breve dice: «se cumplió la palabra sobre Nabucodonosor: Fue echado de entre los hombres, comía».","{""Beltsasar"": ""«Beltsasar» procede de 10, Daniel 4:18, no del espacio exacto solicitado."", ""Daniel"": ""«Daniel» procede de 10, Daniel 4:19, no del espacio exacto solicitado."", ""Señor"": ""«Señor» procede de 10, Daniel 4:19, no del espacio exacto solicitado.""}","se cumplió la palabra sobre Nabucodonosor: Fue echado de entre los hombres, comía",close_detail,False,verified,,
